,이름,선거구,선거구명
1119,강요식,서울,구로구
1120,김진수,서울,중랑구
1121,한상율,충남,서산시 태안군
1122,심규철,경기,군포시
1123,신계륜,서울,성북구
1124,김경호,경기,의정부시
1125,장대범,전남,광양시 곡성군 구 례군
1126,최재천,서울,성동구
1127,변광용,경남,거제시
1128,김주학,강원,속초시 고성군 양양군
1129,김기선,강원,원주시
1130,신경민,서울,영등포구
1131,최진,광주,동구남구
1132,권성동,강원,강릉시
1133,최선명,부산,해운대구
1134,권범재,경기,남양주시
1135,서영석,경기,부천시 오정구
1136,김대한,서울,종로구
1137,진영,서울,용산구
1138,김동현,경기,군포시
1139,홍일표,인천,남구
1140,전권희,전북,익산시
1141,윤두환,울산,북구
1142,유선호,전남,목포시
1143,이인호,광주,북구
1144,홍성훈,서울,종로구
1145,김성원,경기,동두천시 연천군
1146,유은혜,경기,고양시
1147,은수미,경기,성남시 중원구
1148,김우룡,부산,동래구
1149,염오봉,경기,성남시 분당구
1150,이은주,광주,서구
1151,김기옥,서울,강북구
1152,김수정,강원,원주시
1153,신재봉,전북,완주군 진안군 무주군 장수군
1154,이우현,경기,용인시
1155,이영수,광주,북구
1156,조승래,대전,유성구
1157,송기헌,강원,원주시
1158,이근미,서울,구로구
1159,이은주,광주,서구
1160,김비오,부산,중구 영도구
1161,김재귀,경기,수원시
1162,홍익표,서울,중구 성동구
1163,이규민,경기,안성시
1164,허종식,인천,남구
1165,이형우,경남,김해시
1166,유인태,서울,도봉구
1167,김수정,강원,원주시
1168,강은미,광주,서구
1169,전홍기,충남,공주시 부여군 청양군
1170,김창남,서울,송파구
1171,김진표,경기,수원시
1172,조배숙,전북,익산시
1173,유성엽,전북,정읍시 고창군
1174,전상환,울산,울주군
1175,나경채,광주,광산구
1176,홍성규,경기,화성시
1177,원영섭,서울,관악구
1178,이희규,경기,이천시
1179,이헌승,부산,부산진구
1180,김문수,대구,수성구
1181,장세환,전북,전주시
1182,조진형,인천,부평구
1183,문흥수,세종,세종특별자치시
1184,정성근,경기,파주시
1185,이상규,서울,관악구
1186,정준길,서울,광진구
1187,권영진,서울,노원구
1188,손금주,전남,나주시 화순군
1189,추경호,대구,달성군
1190,최진,광주,동구남구
1191,강길부,울산,울주군
1192,홍익표,서울,성동구
1193,문대성,인천,남동구
1194,은수미,경기,성남시 중원구
1195,박홍근,서울,중랑구
1196,정태흥,서울,노원구
1197,김용,경기,화성시
1198,김윤,서울,동대문구
1199,오승철,부산,부산진구
1200,김병욱,경기,성남시 분당구
1201,홍연아,경기,안산시 상록구
1202,우윤근,전남,광양시 곡성군 구 례군
1203,차상돈,경남,사천시 남해군 하동군
1204,최성근,경남,김해시
1205,이용빈,광주,광산구
1206,윤민호,광주,북구
1207,최덕찬,서울,성북구
1208,김종민,충남,논산시 계룡시 금산군
1209,곽상도,대구,중구남구
1210,이명성,충남,천안시
1211,이재범,서울,도봉구
1212,강원,서울,중랑구
1213,홍준표,서울,동대문구
1214,김창균,경기,포천시 가평군
1215,주무늬,대전,서구
1216,정유섭,인천,부평구
1217,김종민,서울,강서구
1218,정종복,경북,경주시
1219,김세연,부산,금정구
1220,이현재,경기,하남시
