이름,선거구명1,선거구명2,종류,회,기호,남여,정당,연령,직업,여당평가,당선여부,득표율,지역구분
장현수,,안성시,구시군의장선거,5,3,남,rem,64,,47.25,False,-0.7965778146281218,1
한영식,경기,안성시,구시군의장선거,5,3,남,rem,58,,47.25,False,-0.07228425343576297,1
허구욱,경기,안성시,구시군의장선거,5,3,남,rem,43,,47.25,False,-3.0949468926402948,1
강경구,경기,김포시,구시군의장선거,5,1,남,con,63,,47.25,False,,3
유영록,,김포시,구시군의장선거,5,2,남,rev,47,정당인,47.25,True,4.595119850134589,3
김동식,경기,김포시,구시군의장선거,5,3,남,rem,49,,47.25,False,,3
조억동,경기,광주시,구시군의장선거,5,1,남,con,53,,47.25,True,,1
최석민,경기,광주시,구시군의장선거,5,2,남,rev,61,정당인,47.25,False,1.774970612106765,1
손동원,경기,광주시,구시군의장선거,5,3,남,rem,52,,47.25,False,-2.6328600461110288,1
김찬구,경기,광주시,구시군의장선거,5,3,남,rem,46,,47.25,False,-2.537739055522311,1
서장원,경기,포천시,구시군의장선거,5,1,남,con,52,,47.25,True,,1
박낙영,경기,포천시,구시군의장선거,5,2,남,rev,54,,47.25,False,-0.2226835510355101,1
이상만,경기,포천시,구시군의장선거,5,3,남,rem,53,정당인,47.25,False,-0.37810310728074775,
김규선,경기,연천군,구시군의장선거,5,1,남,con,57,,47.25,True,,1
장기현,경기,연천군,구시군의장선거,5,2,남,rev,64,,47.25,False,0.09956845757212257,1
심진택,경기,연천군,구시군의장선거,5,3,남,con,60,,47.25,False,-0.3449412165864507,
박영철,경기,연천군,구시군의장선거,5,3,남,rem,51,,47.25,,,1
최의순,경기,연천군,구시군의장선거,5,3,여,,39,,,False,-1.0336704175977791,1
이석권,경기,연천군,구시군의장선거,5,3,남,rem,61,,47.25,False,-2.231236181334714,1
김선교,경기,양평군,구시군의장선거,5,1,남,con,49,,47.25,True,,2
송만기,경기,양평군,구시군의장선거,5,3,남,rem,51,,47.25,False,-1.8275253924589376,2
